model_name,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,f1_std,roc_auc_mean,predicted_up_rate_mean
svc_rbf,0.4444444444444445,0.16197088596792505,0.39555555555555555,0.553968253968254,0.4464137946975475,0.26446522568879727,0.4999326599326599,0.5333333333333334
random_forest,0.45555555555555555,0.04648111258522642,0.5437362637362637,0.44873015873015876,0.4282051282051282,0.125296679951826,0.5157491582491582,0.45555555555555555
extra_trees,0.4222222222222222,0.12789849370245934,0.4714285714285714,0.4480952380952381,0.41468253968253965,0.13870566145266897,0.5093839185505853,0.4666666666666667
adaboost,0.5,0.1416394309331329,0.6238095238095238,0.3938095238095238,0.4136530136530137,0.21948945943028206,0.5109130992464326,0.4111111111111111
gradient_boosting,0.4666666666666666,0.06334307917217434,0.5705555555555555,0.34515873015873016,0.39113688953842407,0.12600228510550623,0.5856906365239698,0.37777777777777777
lda,0.38888888888888884,0.1111111111111111,0.47222222222222215,0.3931746031746032,0.3866484392800182,0.12716233307962083,0.4474763508096841,0.47777777777777775
knn,0.4,0.12668615834434868,0.34725274725274724,0.4609523809523809,0.37722222222222224,0.24037329508007813,0.4798629148629148,0.4888888888888888
logistic_regression,0.4444444444444445,0.039283710065919304,0.5428571428571428,0.3616666666666667,0.3724603174603175,0.12150881776297018,0.48032868366201703,0.37777777777777777
gaussian_nb,0.4666666666666666,0.10829771494232183,0.572121212121212,0.2872222222222222,0.3293963161021985,0.18479608764053818,0.5158822350489016,0.33333333333333337
