Date,Adj Close,Close,High,Low,Open,Volume,date,ticker,daily_return,volume_change,close_to_open,high_low_spread,return_streak,ma_5,ma_10,ma_ratio_5,ma_ratio_10,volatility_5,volatility_10,rsi_14,next_open,target_next_day_up,ticker_sentiment_7d_prior,spy_sentiment_7d_prior,ticker_article_count_7d_prior,spy_article_count_7d_prior,ticker_positive_share_7d_prior,ticker_negative_share_7d_prior,spy_positive_share_7d_prior,spy_negative_share_7d_prior
2025-05-06,430.0179443359375,433.30999755859375,437.7300109863281,431.1700134277344,432.20001220703125,15104200,2025-05-06,MSFT,-0.006557112550366728,-0.24989446814427818,0.0025682214720317916,0.015178152182585775,-1.0,425.08400268554686,406.41600341796874,1.019351457173353,1.0661735608697636,0.03349450862740791,0.024296610643278586,72.04817532410415,433.8399963378906,1,0.4649960802673732,0.4462295386705207,43,35,0.2325581395348837,0.2790697674418604,0.1142857142857142,0.2285714285714285
2025-05-07,430.0576477050781,433.3500061035156,438.1199951171875,431.1099853515625,433.8399963378906,23295300,2025-05-07,MSFT,9.233238362216234e-05,0.5423061135313356,-0.0011294261444566708,0.016158053256494463,1.0,432.702001953125,412.31200256347654,1.0014975760395508,1.0510244751771451,0.03388941760045114,0.02482281224400418,82.90342989205655,437.92999267578125,1,0.4760202931181829,0.431466985502108,114,66,0.2719298245614035,0.2982456140350877,0.1666666666666666,0.2878787878787879
2025-05-08,434.8410339355469,438.1700134277344,443.6700134277344,435.6600036621094,437.92999267578125,23491300,2025-05-08,MSFT,0.011122665873615656,0.008413714354397639,0.0005480801862566716,0.01829061699264604,2.0,435.256005859375,417.3990051269531,1.0066949278795267,1.0497629559382005,0.01152361305818837,0.023866244967113218,87.12159642789088,440.0,1,0.4881105276623669,0.4036591491253278,156,95,0.2756410256410256,0.282051282051282,0.1684210526315789,0.3473684210526316
2025-05-09,435.3967590332031,438.7300109863281,440.739990234375,435.8800048828125,440.0,15324200,2025-05-09,MSFT,0.0012780371577985061,-0.3476648801896872,-0.0028863386674360795,0.011045421253551136,3.0,435.9460083007813,422.0870056152344,1.0063861180800766,1.039430271838942,0.006320483571963531,0.024138930027025086,95.90587456864164,445.94000244140625,1,0.4983109588985754,0.4331115964555533,213,126,0.2816901408450704,0.2676056338028169,0.2063492063492063,0.3333333333333333
2025-05-12,445.8467712402344,449.260009765625,449.3699951171875,439.7799987792969,445.94000244140625,22821900,2025-05-12,MSFT,0.024001090683593684,0.48927187063598754,0.007444964134283913,0.021505126890137404,4.0,438.5640075683594,427.8970062255859,1.0243886913031695,1.0499255737460724,0.011886533592098646,0.02392647658284844,96.03527276990697,447.7799987792969,0,0.4983109588985754,0.4331115964555533,213,126,0.2816901408450704,0.2676056338028169,0.2063492063492063,0.3333333333333333
2025-05-13,445.72772216796875,449.1400146484375,450.6700134277344,445.3599853515625,447.7799987792969,23618800,2025-05-13,MSFT,-0.00026709503311928007,0.034918214522016155,0.003037241218563122,0.011858564676063384,-1.0,441.7300109863281,433.4070068359375,1.016774960898771,1.0363007694023174,0.010476160295838146,0.02428737805872947,95.52928221817254,448.1400146484375,0,0.5067376634935266,0.4280662340651813,170,91,0.2941176470588235,0.2647058823529412,0.2417582417582417,0.3736263736263736
2025-05-14,449.4988098144531,452.94000244140625,453.8999938964844,448.1400146484375,448.1400146484375,19902800,2025-05-14,MSFT,0.008460586162520434,-0.1573322946127661,0.010710910956555185,0.012853079528204005,1.0,445.64801025390625,439.1750061035156,1.016362671928784,1.0313428499950796,0.00968638736854781,0.02409225421916171,94.97120945383686,450.7699890136719,0,0.5239789982820576,0.4349206685043431,99,60,0.2929292929292929,0.2323232323232323,0.25,0.3833333333333333
2025-05-15,450.5129089355469,453.1300048828125,456.19000244140625,450.42999267578125,450.7699890136719,21992300,2025-05-15,MSFT,0.0004194869969138537,0.10498522820909617,0.0052355212783898215,0.01277815716664824,2.0,448.6400085449219,441.94800720214846,1.010008015897764,1.0253016135347102,0.010244261697461069,0.010287672240593808,94.65168747200963,452.04998779296875,0,0.5262279285976723,0.5233690963385023,57,31,0.2982456140350877,0.2280701754385964,0.3225806451612903,0.2903225806451613
2025-06-02,459.3018798828125,461.9700012207031,462.1099853515625,456.8900146484375,457.1400146484375,16626500,2025-06-02,MSFT,0.003497297593992865,-0.5218216591650968,0.010565661323654012,0.011418756914420207,3.0,459.81199340820314,457.37099609375,1.0046932395053563,1.010055305575193,0.011117108281663162,0.01047227626666792,65.28746517492374,461.4700012207031,0,0.5651133323792147,0.4601086576425235,37,67,0.3783783783783784,0.1891891891891892,0.2835820895522388,0.373134328358209
2025-06-03,460.29608154296875,462.9700012207031,464.1400146484375,460.8599853515625,461.4700012207031,15743800,2025-06-03,MSFT,0.0021646427199983886,-0.053089946771719854,0.0032504821462546346,0.0071077844457895535,4.0,460.2679931640625,457.78099670410154,1.0058705104347274,1.011335124336661,0.004635339948276276,0.010057574574139316,66.28974386071613,464.0,1,0.5813063889565361,0.4591226149941838,62,105,0.3870967741935484,0.1935483870967742,0.2666666666666666,0.3333333333333333
