accuracy,precision,recall,f1,predicted_up_rate,roc_auc,fold,model_name
0.4444444444444444,1.0,0.2857142857142857,0.4444444444444444,0.2222222222222222,0.4642857142857143,1,logistic_regression
0.5,0.42857142857142855,0.375,0.4,0.3888888888888889,0.42499999999999993,2,logistic_regression
0.4444444444444444,0.5,0.1,0.16666666666666666,0.1111111111111111,0.475,3,logistic_regression
0.3888888888888889,0.35714285714285715,0.7142857142857143,0.47619047619047616,0.7777777777777778,0.5064935064935066,4,logistic_regression
0.4444444444444444,0.42857142857142855,0.3333333333333333,0.375,0.3888888888888889,0.5308641975308642,5,logistic_regression
0.4444444444444444,0.8333333333333334,0.35714285714285715,0.5,0.3333333333333333,0.625,1,random_forest
0.5,0.46153846153846156,0.75,0.5714285714285714,0.7222222222222222,0.6375,2,random_forest
0.5,0.6666666666666666,0.2,0.3076923076923077,0.16666666666666666,0.5249999999999999,3,random_forest
0.3888888888888889,0.35714285714285715,0.7142857142857143,0.47619047619047616,0.7777777777777778,0.2727272727272727,4,random_forest
0.4444444444444444,0.4,0.2222222222222222,0.2857142857142857,0.2777777777777778,0.5185185185185185,5,random_forest
0.2222222222222222,0.5,0.14285714285714285,0.2222222222222222,0.2222222222222222,0.5357142857142857,1,extra_trees
0.5555555555555556,0.5,0.75,0.6,0.6666666666666666,0.6,2,extra_trees
0.4444444444444444,0.5,0.3,0.375,0.3333333333333333,0.4375,3,extra_trees
0.3888888888888889,0.35714285714285715,0.7142857142857143,0.47619047619047616,0.7777777777777778,0.46753246753246747,4,extra_trees
0.5,0.5,0.3333333333333333,0.4,0.3333333333333333,0.5061728395061729,5,extra_trees
0.5,0.7777777777777778,0.5,0.6086956521739131,0.5,0.49107142857142855,1,gradient_boosting
0.4444444444444444,0.375,0.375,0.375,0.4444444444444444,0.5375000000000001,2,gradient_boosting
0.5555555555555556,1.0,0.2,0.3333333333333333,0.1111111111111111,0.8125,3,gradient_boosting
0.3888888888888889,0.3,0.42857142857142855,0.35294117647058826,0.5555555555555556,0.5194805194805194,4,gradient_boosting
0.4444444444444444,0.4,0.2222222222222222,0.2857142857142857,0.2777777777777778,0.5679012345679012,5,gradient_boosting
0.6666666666666666,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.6666666666666666,0.6875,1,adaboost
0.5,0.4,0.25,0.3076923076923077,0.2777777777777778,0.4375,2,adaboost
0.5,1.0,0.1,0.18181818181818182,0.05555555555555555,0.6000000000000001,3,adaboost
0.2777777777777778,0.2857142857142857,0.5714285714285714,0.38095238095238093,0.7777777777777778,0.2987012987012987,4,adaboost
0.5555555555555556,0.6,0.3333333333333333,0.42857142857142855,0.2777777777777778,0.5308641975308642,5,adaboost
0.2222222222222222,0.0,0.0,0.0,0.0,0.5178571428571428,1,knn
0.5555555555555556,0.5,1.0,0.6666666666666666,0.8888888888888888,0.5062500000000001,2,knn
0.4444444444444444,0.5,0.4,0.4444444444444444,0.4444444444444444,0.44375,3,knn
0.3333333333333333,0.3076923076923077,0.5714285714285714,0.4,0.7222222222222222,0.487012987012987,4,knn
0.4444444444444444,0.42857142857142855,0.3333333333333333,0.375,0.3888888888888889,0.4444444444444444,5,knn
0.2222222222222222,0.0,0.0,0.0,0.0,0.5535714285714286,1,svc_rbf
0.6111111111111112,0.5333333333333333,1.0,0.6956521739130435,0.8333333333333334,0.6125,2,svc_rbf
0.5,0.5555555555555556,0.5,0.5263157894736842,0.5,0.46249999999999997,3,svc_rbf
0.3333333333333333,0.3333333333333333,0.7142857142857143,0.45454545454545453,0.8333333333333334,0.38961038961038963,4,svc_rbf
0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5,0.4814814814814815,5,svc_rbf
0.5,0.7272727272727273,0.5714285714285714,0.64,0.6111111111111112,0.5892857142857143,1,gaussian_nb
0.6111111111111112,1.0,0.125,0.2222222222222222,0.05555555555555555,0.5249999999999999,2,gaussian_nb
0.3333333333333333,0.3333333333333333,0.2,0.25,0.3333333333333333,0.3375,3,gaussian_nb
0.3888888888888889,0.3,0.42857142857142855,0.35294117647058826,0.5555555555555556,0.5844155844155844,4,gaussian_nb
0.5,0.5,0.1111111111111111,0.18181818181818182,0.1111111111111111,0.5432098765432098,5,gaussian_nb
0.5,1.0,0.35714285714285715,0.5263157894736842,0.2777777777777778,0.6428571428571428,1,lda
0.4444444444444444,0.3333333333333333,0.25,0.2857142857142857,0.3333333333333333,0.33749999999999997,2,lda
0.2222222222222222,0.25,0.2,0.2222222222222222,0.4444444444444444,0.3125,3,lda
0.3333333333333333,0.3333333333333333,0.7142857142857143,0.45454545454545453,0.8333333333333334,0.37662337662337664,4,lda
0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5,0.5679012345679012,5,lda
