model_name,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,f1_std,roc_auc_mean,predicted_up_rate_mean
extra_trees,0.5422496570644719,0.02979732841623864,0.5438383104332083,0.9817663767852272,0.6994503939425052,0.02482244808324934,0.5035968231677919,0.981344307270233
lda,0.5414266117969821,0.03263694197132577,0.543751665286683,0.9714935177818267,0.696794435031913,0.027729384617226415,0.5076937344324819,0.9713305898491085
logistic_regression,0.5414951989026063,0.032565335429175654,0.543834984608479,0.970886417502585,0.6966907256607142,0.027631292416876344,0.5075322640881772,0.9705761316872428
svc_rbf,0.541838134430727,0.029772255542439167,0.5445778215088499,0.9612202865717503,0.6947906094603994,0.025557721020943093,0.5085349283841246,0.9595336076817558
adaboost,0.5374485596707819,0.029442967380162537,0.5435877153824258,0.9431762824932364,0.6882069492677314,0.0270140264239339,0.5021394812887625,0.9434842249657065
random_forest,0.5368998628257888,0.0287888197232535,0.5436292578740177,0.932232343802465,0.6857799032694643,0.024829056267721472,0.502000650296273,0.9323731138545952
gradient_boosting,0.5351165980795611,0.030044166499787917,0.5441942016714229,0.9085496148064447,0.6794229793156168,0.02402484666527385,0.4987507804243096,0.9079561042524006
gaussian_nb,0.5342249657064473,0.03489055118456374,0.5472683331507381,0.845869842021535,0.6574049963138437,0.06492983383281256,0.505938520657587,0.840809327846365
knn,0.517764060356653,0.017385850465973494,0.545210695999675,0.6867723196223763,0.6071657906886898,0.020956297378134956,0.5102088500326557,0.685116598079561
