accuracy,precision,recall,f1,predicted_up_rate,roc_auc,fold,model_name
0.5558984910836763,0.5591007976794778,0.9512646514497224,0.7042703813656086,0.9458161865569273,0.5133701252146656,1,logistic_regression
0.5915637860082305,0.5929909784871616,0.9895773016792125,0.7415925363419397,0.9883401920438958,0.5261875043525309,2,logistic_regression
0.5102880658436214,0.5097222222222222,0.9892183288409704,0.6727772685609532,0.9876543209876543,0.5107026156093301,3,logistic_regression
0.5253772290809328,0.5287437899219305,0.963777490297542,0.6828597616865261,0.96639231824417,0.49800379599814926,4,logistic_regression
0.5243484224965707,0.5286171347316033,0.960594315245478,0.6819536803485439,0.9646776406035665,0.48939727926621035,5,logistic_regression
0.5438957475994513,0.558598469593234,0.8556446637877854,0.6759259259259259,0.8515089163237312,0.5150364782690507,1,random_forest
0.5826474622770919,0.5922575976845152,0.9478865083960626,0.7290135827209976,0.9478737997256516,0.5117616950983319,2,random_forest
0.5068587105624143,0.5081676136363636,0.9642857142857143,0.6655813953488372,0.9657064471879286,0.4971836460419521,3,random_forest
0.5281207133058985,0.5307525325615051,0.9489003880983182,0.6807424593967517,0.9478737997256516,0.48851143992974566,4,random_forest
0.5229766803840878,0.5283700758944705,0.9444444444444444,0.6776361529548088,0.9489026063100137,0.4975099921422851,5,random_forest
0.556241426611797,0.5580404685835996,0.9697717458359038,0.708427219468229,0.9660493827160493,0.510783895731459,1,extra_trees
0.5867626886145405,0.5908141962421712,0.9832078749276202,0.7381004129537058,0.98559670781893,0.5204190312374142,2,extra_trees
0.5102880658436214,0.5096618357487923,0.9952830188679245,0.6741214057507987,0.9938271604938271,0.49245631239741605,3,extra_trees
0.5294924554183813,0.5304408677396781,0.9805950840879689,0.6884650317892824,0.9801097393689986,0.497204464547077,4,extra_trees
0.5284636488340192,0.5302341838518001,0.9799741602067183,0.6881378997505103,0.9811385459533608,0.4971204119255935,5,extra_trees
0.5404663923182441,0.5582745748652012,0.8303516347933374,0.6676587301587301,0.8268175582990398,0.5122642250958105,1,gradient_boosting
0.5843621399176955,0.5980205557670346,0.9096699478865083,0.7216352779053744,0.9008916323731139,0.5096449649679093,2,gradient_boosting
0.5068587105624143,0.5082972582972582,0.9494609164420486,0.662124060150376,0.9506172839506173,0.49087308384405726,3,gradient_boosting
0.5243484224965707,0.5293466223698782,0.9275549805950841,0.6740305522914218,0.9290123456790124,0.4837019952597237,4,gradient_boosting
0.5195473251028807,0.5270319970577418,0.9257105943152455,0.6716662760721819,0.9324417009602195,0.49726963295404747,5,gradient_boosting
0.5432098765432098,0.5602334305960817,0.8291178285009253,0.6686567164179105,0.8227023319615913,0.5104494818251758,1,adaboost
0.5850480109739369,0.5910531877421628,0.971627099015634,0.7349978098992553,0.9735939643347051,0.5110509237592427,2,adaboost
0.5082304526748971,0.508602890571232,0.9959568733153639,0.6733485193621868,0.9965706447187929,0.49797749552018555,3,adaboost
0.5219478737997256,0.5274368231046931,0.9450194049159121,0.6770157553290084,0.9499314128943759,0.49055462176938835,4,adaboost
0.5288065843621399,0.5306122448979592,0.9741602067183462,0.6870159453302961,0.9746227709190672,0.5006648835698204,5,adaboost
0.5308641975308642,0.5629666500746641,0.6977174583590376,0.6231404958677685,0.6889574759945131,0.5230743213469925,1,knn
0.5363511659807956,0.5944584382871536,0.6832657788071801,0.6357758620689655,0.6807270233196159,0.5084683815110819,2,knn
0.49588477366255146,0.5033396946564885,0.7109164420485176,0.5893854748603352,0.7187928669410151,0.5083448308964146,3,knn
0.5037722908093278,0.5247623811905953,0.6785252263906857,0.5918194640338504,0.6855281207133059,0.4952901766744412,4,knn
0.5219478737997256,0.5405263157894736,0.66343669250646,0.595707656612529,0.6515775034293553,0.5158665397343488,5,knn
0.5606995884773662,0.5610632183908046,0.9636027143738433,0.7091940976163451,0.9547325102880658,0.5055523665023973,1,svc_rbf
0.5840192043895748,0.5916547788873039,0.9606253618992473,0.7322886779960274,0.9615912208504801,0.5258368668985095,2,svc_rbf
0.5113168724279835,0.5104350902016271,0.9723719676549866,0.6694502435629784,0.9694787379972565,0.5277755556475778,3,svc_rbf
0.52400548696845,0.5282951289398281,0.9540750323415266,0.6800368833563855,0.9574759945130316,0.48621047015608915,4,svc_rbf
0.5291495198902606,0.5314408911246856,0.9554263565891473,0.6829831447702609,0.9543895747599451,0.49729938271604934,5,svc_rbf
0.5133744855967078,0.5640050697084917,0.5490438001233806,0.5564238824632698,0.5411522633744856,0.5056323971808241,1,gaussian_nb
0.5963648834019204,0.599349710982659,0.9606253618992473,0.7381535038932147,0.9492455418381345,0.5237310941885251,2,gaussian_nb
0.5195473251028807,0.5152967194987099,0.9420485175202157,0.6661901358112938,0.9303840877914952,0.515669468746706,3,gaussian_nb
0.5195473251028807,0.5279168271082018,0.8868046571798189,0.6618392469225199,0.8906035665294925,0.49079045523649445,4,gaussian_nb
0.5222908093278463,0.5297733384556281,0.8908268733850129,0.6644182124789207,0.8926611796982168,0.49386918793538537,5,gaussian_nb
0.5565843621399177,0.5591630591630592,0.9561998766193708,0.7056681083541999,0.9506172839506173,0.513364885110721,1,lda
0.5912208504801097,0.5928497049635543,0.9889982628836133,0.7413194444444444,0.9879972565157751,0.5262639627973661,2,lda
0.5099451303155007,0.5095519277526919,0.988544474393531,0.6724730689892275,0.9873113854595336,0.5113915282567122,3,lda
0.5250342935528121,0.5285764998225062,0.963130659767141,0.6825578730231492,0.9660493827160493,0.4980104059451752,4,lda
0.5243484224965707,0.5286171347316033,0.960594315245478,0.6819536803485439,0.9646776406035665,0.4894378900524351,5,lda
