date,ticker_sentiment_7d_prior,ticker_article_count_7d_prior,ticker_positive_share_7d_prior,ticker_negative_share_7d_prior,spy_sentiment_7d_prior,spy_article_count_7d_prior,spy_positive_share_7d_prior,spy_negative_share_7d_prior,ticker,market_symbol
2021-04-21,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-04-22,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-04-23,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-04-26,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-04-27,0.5,1,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-04-28,0.5,1,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-04-29,0.5,1,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-04-30,0.5,1,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-05-03,0.5,1,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-05-04,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-05-05,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-05-06,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-05-07,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-05-10,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-05-11,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-05-12,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-05-13,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-05-14,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-05-17,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-05-18,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-05-19,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-05-20,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-05-21,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
2021-05-24,0.5,0,0.0,0.0,0.5,0,0.0,0.0,AAPL,SPY
