date,ticker_sentiment_7d_prior,ticker_article_count_7d_prior,ticker_positive_share_7d_prior,ticker_negative_share_7d_prior,spy_sentiment_7d_prior,spy_article_count_7d_prior,spy_positive_share_7d_prior,spy_negative_share_7d_prior,ticker,market_symbol
2021-04-30,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-03,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-04,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-05,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-06,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-07,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-10,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-11,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-12,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-13,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-14,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-17,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-18,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-19,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-20,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-21,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-24,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-25,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-26,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-27,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-05-28,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-01,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-02,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-03,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-04,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-07,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-08,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-09,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-10,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-11,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-14,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-15,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-16,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-17,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-18,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-21,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-22,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-23,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-24,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-25,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-28,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-29,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-06-30,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-01,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-02,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-06,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-07,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-08,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-09,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-12,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-13,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-14,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-15,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-16,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-19,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-20,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-21,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-22,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-23,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-26,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-27,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-28,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-29,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-07-30,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-08-02,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-08-03,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-08-04,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-08-05,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-08-06,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-08-09,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
2021-08-10,0.5,0,0.0,0.0,0.5,0,0.0,0.0,MSFT,SPY
