date,spy_article_count,spy_avg_sentiment,spy_positive_count,spy_negative_count,spy_neutral_count,spy_weighted_sentiment,spy_sentiment_7d_prior,spy_article_count_7d_prior,spy_positive_share_7d_prior,spy_negative_share_7d_prior
2021-04-21,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-04-22,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-04-23,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-04-24,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-04-25,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-04-26,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-04-27,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-04-28,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-04-29,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-04-30,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-05-01,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-05-02,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-05-03,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-05-04,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-05-05,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-05-06,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-05-07,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-05-08,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-05-09,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-05-10,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-05-11,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-05-12,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-05-13,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
2021-05-14,0,0.5,0,0,0,0.5,0.5,0,0.0,0.0
